year,industry,employee,regular_pay,irregular_pay,avg_working_hour
87,服務業部門,2868244,33896,8274,184.2
87,製造業,2389582,28929,7502,198.0
87,批發及零售業,1293578,31341,6355,182.9
87,運輸及倉儲業,276732,35656,8418,192.9
87,住宿及餐飲業,162332,20868,3171,184.5
87,資訊及通訊傳播業,137701,44877,16544,180.9
87,金融及保險業,343637,42171,17375,175.5
87,不動產業,95262,34905,6814,185.3
87,專業、科學及技術服務業,169733,39110,8788,178.4
87,支援服務業,102295,30341,4473,188.4
87,醫療保健服務業,162753,40839,8081,187.1
87,藝術、娛樂及休閒服務業,37546,23054,3202,202.8
87,其他服務業,86675,25107,4423,207.2
87,食品製造業,94745,28542,6239,195.3
87,飲料及菸草製造業,16924,36861,11631,187.8
87,紡織業,160024,26625,6046,210.5
87,成衣及服飾品製造業,88091,21197,3316,199.0
87,皮革、毛皮及其製品製造業,50027,23953,4982,200.3
87,木竹製品製造業,27209,22965,3915,191.9
87,紙漿、紙及紙製品製造業,59474,28668,6415,204.5
87,印刷及資料儲存媒體複製業,55545,30895,9600,205.6
87,石油及煤製品製造業,14937,56716,23433,192.0
87,化學材料製造業,62592,36813,15926,202.5
87,化學製品製造業,44608,30750,10754,191.4
87,藥品及醫用化學製品製造業,18300,29261,7068,186.3
87,橡膠製品製造業,34555,25746,6177,205.0
87,塑膠製品製造業,161453,28500,6735,200.9
87,非金屬礦物製品製造業,88393,27929,6735,203.7
87,基本金屬製造業,91092,33643,8273,203.5
87,金屬製品製造業,272835,27729,6793,201.6
87,電子零組件製造業,287883,29511,7924,193.7
87,電腦、電子產品及光學製品製造業,165877,30765,7459,190.9
87,電力設備製造業,141424,27942,7548,191.0
87,機械設備製造業,158972,28723,7462,198.6
87,汽車及其零件製造業,75497,33084,12916,192.9
87,其他運輸工具及其零件製造業,64249,33021,8498,191.6
87,家具製造業,43452,24613,4877,196.3
87,其他製造業,82948,25612,5415,191.3
87,產業用機械設備維修及安裝業,28476,29881,6821,194.7
88,服務業部門,2906905,35086,8208,183.8
88,製造業,2405286,29935,7803,199.0
88,批發及零售業,1320852,32487,6208,182.9
88,運輸及倉儲業,275444,36671,8401,190.8
88,住宿及餐飲業,161955,21588,3529,188.9
88,資訊及通訊傳播業,143048,45861,15399,177.0
88,金融及保險業,352210,43140,17192,174.6
88,不動產業,87044,36428,8001,180.7
88,專業、科學及技術服務業,167258,40721,8853,181.3
88,支援服務業,108182,30847,4072,186.9
88,醫療保健服務業,172865,42747,8273,185.1
88,藝術、娛樂及休閒服務業,34871,24182,2342,202.0
