time.year,time.month,time.day,time.hour,time.minute,event.level,location.district,location.address,number.dead,number.injury,party.sn,vehicle.type,party.gender,party.age,party.injury,location.weather,location.speed.limit,location.road.type,location.type
104,1,1,0,18,一般,08士林區,東山路25巷編號097號燈桿前,0,3,1,普通重型機車,男,19,受傷,晴,30,其他,一般車道(未劃分快慢車道)
104,1,1,0,18,一般,08士林區,東山路25巷編號097號燈桿前,0,3,2,普通重型機車,男,18,受傷,晴,30,其他,一般車道(未劃分快慢車道)
104,1,1,0,18,一般,08士林區,東山路25巷編號097號燈桿前,0,3,3,普通重型機車,男,19,未受傷,晴,30,其他,一般車道(未劃分快慢車道)
104,1,1,0,18,一般,08士林區,東山路25巷編號097號燈桿前,0,3,4,乘客,女,20,受傷,晴,30,其他,一般車道(未劃分快慢車道)
104,1,1,1,37,一般,10文山區,木柵路4段 秀明路,0,2,1,自用小客車,男,51,未受傷,晴,50,四岔路,交叉路口內
104,1,1,1,37,一般,10文山區,木柵路4段 秀明路,0,2,2,普通重型機車,男,19,受傷,晴,50,四岔路,交叉路口內
104,1,1,1,37,一般,10文山區,木柵路4段 秀明路,0,2,3,乘客,女,18,受傷,晴,50,四岔路,交叉路口內
104,1,1,1,37,一般,10文山區,木柵路4段 秀明路,0,2,4,乘客,男,13,不明,晴,50,四岔路,交叉路口內
104,1,1,2,30,一般,06松山區,塔悠路 6號水門內,0,2,1,普通重型機車,男,19,受傷,晴,0,三岔路,其他
104,1,1,2,30,一般,06松山區,塔悠路 6號水門內,0,2,2,NA,無或物(動物、堆置物),NA,NA,晴,0,三岔路,其他
104,1,1,2,30,一般,06松山區,塔悠路 6號水門內,0,2,3,乘客,女,18,受傷,晴,0,三岔路,其他
104,1,1,2,35,一般,03中山區,中山區南京東路2段15號,0,1,1,其他車,男,NA,不明,陰,50,直路,一般車道(未劃分快慢車道)
104,1,1,2,35,一般,03中山區,中山區南京東路2段15號,0,1,2,普通重型機車,男,18,未受傷,陰,50,直路,一般車道(未劃分快慢車道)
104,1,1,2,35,一般,03中山區,中山區南京東路2段15號,0,1,3,乘客,女,18,受傷,陰,50,直路,一般車道(未劃分快慢車道)
104,1,1,2,45,一般,08士林區,士林區士商路與承德路5,0,1,1,租賃車,男,22,未受傷,晴,50,四岔路,交叉路口內
104,1,1,2,45,一般,08士林區,士林區士商路與承德路5,0,1,2,普通重型機車,男,22,受傷,晴,50,四岔路,交叉路口內
104,1,1,2,50,一般,08士林區,忠誠路1段173巷 忠義街,0,1,1,普通重型機車,男,18,受傷,陰,50,四岔路,交叉路口內
104,1,1,2,50,一般,08士林區,忠誠路1段173巷 忠義街,0,1,2,計程車,男,50,未受傷,陰,50,四岔路,交叉路口內
104,1,1,3,8,一般,03中山區,市民大道2段67巷口,0,1,1,普通重型機車,男,19,受傷,陰,40,三岔路,交叉口附近
